Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Boardwalk,36,2.8125,326,2.6244,3175,2.5530,31233,2.5145,

Test # 3
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,31,2.5203,359,2.9001,3664,2.9472,36612,2.9460,
Mediterranean Avenue,21,1.7073,246,1.9872,2513,2.0213,25368,2.0413,
Community Chest,22,1.7886,301,2.4315,2595,2.0873,26017,2.0935,
Baltic Avenue,30,2.4390,258,2.0842,2557,2.0567,25544,2.0554,
Income Tax,30,2.4390,284,2.2942,2800,2.2522,27586,2.2197,
Reading Railroad,42,3.4146,367,2.9647,3560,2.8635,35402,2.8487,
Oriental Avenue,26,2.1138,252,2.0357,2752,2.2136,27131,2.1831,
Chance,23,1.8699,258,2.0842,2770,2.2281,27629,2.2232,
Vermont Avenue,27,2.1951,282,2.2781,2738,2.2023,27988,2.2521,
Connecticut Avenue,28,2.2764,289,2.3346,2680,2.1557,27386,2.2037,
Jail / Just Visiting,27,2.1951,268,2.1650,2690,2.1637,27080,2.1790,
St. Charles Place,41,3.3333,341,2.7547,3243,2.6085,32115,2.5842,
Electric Company,29,2.3577,297,2.3992,3168,2.5482,31535,2.5375,
States Avenue,33,2.6829,289,2.3346,2821,2.2691,27990,2.2523,
Virginia Avenue,25,2.0325,311,2.5123,2949,2.3720,29677,2.3880,
Pennsylvania Railroad,28,2.2764,318,2.5689,3424,2.7541,34290,2.7592,
St. James Place,20,1.6260,324,2.6173,3275,2.6343,33462,2.6926,
Community Chest,43,3.4959,327,2.6416,3422,2.7525,34404,2.7684,
Tennessee Avenue,38,3.0894,381,3.0778,3546,2.8522,35364,2.8456,
New York Avenue,43,3.4959,370,2.9889,3677,2.9576,36335,2.9237,
Free Parking,27,2.1951,339,2.7385,3466,2.7879,34747,2.7960,
Kentucky Avenue,24,1.9512,324,2.6173,3370,2.7107,33329,2.6819,
Chance,30,2.4390,332,2.6820,3351,2.6954,33943,2.7313,
