Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Indiana Avenue,37,2.9482,332,2.6738,3246,2.6091,32485,2.6126,
Illinois Avenue,38,3.0279,386,3.1086,3692,2.9676,37601,3.0241,
B. & O. Railroad,32,2.5498,346,2.7865,3631,2.9186,36661,2.9485,
Atlantic Avenue,25,1.9920,325,2.6174,3151,2.5327,32442,2.6091,
Ventnor Avenue,31,2.4701,345,2.7784,3227,2.5938,31837,2.5605,
Water Works,38,3.0279,331,2.6657,3416,2.7457,33470,2.6918,
Marvin Gardens,24,1.9124,294,2.3677,3089,2.4829,30906,2.4856,
Go To Jail,29,2.3108,310,2.4966,3179,2.5552,31306,2.5178,
Pacific Avenue,36,2.8685,296,2.3838,3041,2.4443,31698,2.5493,
North Carolina Avenue,25,1.9920,320,2.5771,3199,2.5713,31240,2.5125,
Community Chest,40,3.1873,341,2.7462,3211,2.5810,32403,2.6060,
Pennsylvania Avenue,32,2.5498,297,2.3919,2967,2.3848,29687,2.3876,
Short Line,33,2.6295,299,2.4080,2986,2.4001,29166,2.3457,
Chance,29,2.3108,253,2.0375,2708,2.1767,27295,2.1952,
Park Place,20,1.5936,246,1.9812,2567,2.0633,26028,2.0933,
Luxury Tax,27,2.1514,230,1.8523,2592,2.0834,26116,2.1004,
Boardwalk,31,2.4701,315,2.5368,3132,2.5175,31227,2.5114,

Test # 10
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,45,3.6378,387,3.1215,3785,3.0517,37048,2.9827,
Mediterranean Avenue,20,1.6168,261,2.1052,2508,2.0221,25398,2.0448,
Community Chest,22,1.7785,259,2.0890,2573,2.0745,25746,2.0728,
Baltic Avenue,28,2.2635,239,1.9277,2574,2.0753,25562,2.0580,
Income Tax,28,2.2635,262,2.1132,2750,2.2172,27738,2.2332,
Reading Railroad,49,3.9612,353,2.8472,3546,2.8590,35516,2.8594,
Oriental Avenue,29,2.3444,266,2.1455,2691,2.1696,26833,2.1603,
Chance,38,3.0719,321,2.5891,2787,2.2470,27231,2.1923,
Vermont Avenue,24,1.9402,277,2.2342,2711,2.1858,27701,2.2302,
Connecticut Avenue,23,1.8593,262,2.1132,2720,2.1930,27324,2.1998,
Jail / Just Visiting,26,2.1019,259,2.0890,2725,2.1970,27064,2.1789,
St. Charles Place,30,2.4252,322,2.5972,3239,2.6115,32289,2.5996,
Electric Company,25,2.0210,293,2.3633,3147,2.5373,31451,2.5321,
States Avenue,31,2.5061,266,2.1455,2776,2.2382,27968,2.2517,
Virginia Avenue,29,2.3444,309,2.4923,3029,2.4422,29845,2.4028,
Pennsylvania Railroad,31,2.5061,382,3.0811,3418,2.7558,34523,2.7794,
St. James Place,34,2.7486,315,2.5407,3209,2.5873,33411,2.6899,
Community Chest,24,1.9402,340,2.7424,3471,2.7985,34819,2.8032,
Tennessee Avenue,31,2.5061,340,2.7424,3573,2.8808,35330,2.8444,
New York Avenue,37,2.9911,330,2.6617,3605,2.9066,36196,2.9141,
Free Parking,37,2.9911,362,2.9198,3470,2.7977,34571,2.7833,
Kentucky Avenue,37,2.9911,355,2.8634,3373,2.7195,33339,2.6841,
Chance,36,2.9103,343,2.7666,3309,2.6679,33954,2.7336,
Indiana Avenue,25,2.0210,308,2.4843,3204,2.5832,32569,2.6221,
Illinois Avenue,36,2.9103,381,3.0731,3762,3.0331,37815,3.0445,
B. & O. Railroad,44,3.5570,361,2.9118,3647,2.9404,36534,2.9413,
Atlantic Avenue,30,2.4252,341,2.7504,3319,2.6760,32342,2.6038,
Ventnor Avenue,29,2.3444,338,2.7262,3277,2.6421,32147,2.5881,
Water Works,40,3.2336,345,2.7827,3274,2.6397,33386,2.6879,
Marvin Gardens,33,2.6677,288,2.3230,3046,2.4559,30676,2.4697,
Go To Jail,31,2.5061,317,2.5569,3060,2.4671,31513,2.5371,
Pacific Avenue,31,2.5061,300,2.4197,3210,2.5881,31910,2.5690,
North Carolina Avenue,30,2.4252,307,2.4762,3117,2.5131,31164,2.5090,
Community Chest,31,2.5061,331,2.6698,3208,2.5865,32042,2.5797,
Pennsylvania Avenue,30,2.4252,302,2.4359,2922,2.3559,29645,2.3867,
Short Line,23,1.8593,290,2.3391,2892,2.3317,29011,2.3357,
Chance,22,1.7785,264,2.1294,2779,2.2406,27460,2.2108,
Park Place,38,3.0719,263,2.1213,2655,2.1406,26132,2.1039,
Luxury Tax,28,2.2635,271,2.1858,2564,2.0672,25869,2.0827,
Boardwalk,22,1.7785,288,2.3230,3105,2.5034,31023,2.4976,
