Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Indiana Avenue,33,2.8157,307,2.5997,3039,2.5808,30731,2.6072,
Illinois Avenue,43,3.6689,358,3.0316,3599,3.0564,35739,3.0321,
B. & O. Railroad,32,2.7304,349,2.9554,3428,2.9112,34633,2.9382,
Atlantic Avenue,35,2.9863,305,2.5828,3033,2.5757,30437,2.5822,
Ventnor Avenue,27,2.3038,280,2.3711,3049,2.5893,30145,2.5575,
Water Works,25,2.1331,307,2.5997,3127,2.6555,31682,2.6879,
Marvin Gardens,31,2.6451,292,2.4727,2884,2.4492,29236,2.4803,
Go To Jail,29,2.4744,286,2.4219,3007,2.5536,29642,2.5148,
Pacific Avenue,39,3.3276,337,2.8538,3009,2.5553,30119,2.5553,
North Carolina Avenue,36,3.0717,327,2.7691,3011,2.5570,29744,2.5234,
Community Chest,18,1.5358,264,2.2356,3129,2.6572,30785,2.6118,
Pennsylvania Avenue,25,2.1331,300,2.5404,2764,2.3473,28265,2.3980,
Short Line,36,3.0717,265,2.2441,2705,2.2972,27614,2.3427,
Chance,32,2.7304,262,2.2186,2597,2.2054,25742,2.1839,
Park Place,20,1.7065,241,2.0408,2539,2.1562,24624,2.0891,
Luxury Tax,20,1.7065,257,2.1763,2468,2.0959,24445,2.0739,
Boardwalk,31,2.6451,301,2.5489,3008,2.5545,29981,2.5436,

Test # 10
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,34,2.8595,346,2.9267,3437,2.9194,34927,2.9623,
Mediterranean Avenue,32,2.6913,256,2.1655,2465,2.0938,24012,2.0365,
Community Chest,32,2.6913,248,2.0978,2431,2.0649,24558,2.0828,
Baltic Avenue,26,2.1867,259,2.1908,2476,2.1031,24389,2.0685,
Income Tax,18,1.5139,251,2.1232,2593,2.2025,26179,2.2203,
Reading Railroad,28,2.3549,318,2.6899,3348,2.8438,33601,2.8498,
Oriental Avenue,30,2.5231,254,2.1485,2589,2.1991,25846,2.1921,
Chance,32,2.6913,273,2.3093,2545,2.1617,25967,2.2023,
Vermont Avenue,13,1.0934,269,2.2754,2598,2.2067,25987,2.2040,
Connecticut Avenue,30,2.5231,276,2.3346,2508,2.1303,25801,2.1883,
Jail / Just Visiting,33,2.7754,257,2.1739,2574,2.1863,25620,2.1729,
St. Charles Place,28,2.3549,280,2.3685,3128,2.6569,30791,2.6115,
Electric Company,33,2.7754,331,2.7999,3108,2.6399,30912,2.6217,
States Avenue,29,2.4390,262,2.2162,2648,2.2492,26170,2.2195,
Virginia Avenue,22,1.8503,282,2.3854,2864,2.4327,29038,2.4628,
Pennsylvania Railroad,29,2.4390,329,2.7829,3193,2.7121,31788,2.6960,
St. James Place,28,2.3549,308,2.6053,3231,2.7444,32156,2.7272,
Community Chest,27,2.2708,318,2.6899,3201,2.7189,32044,2.7177,
Tennessee Avenue,49,4.1211,346,2.9267,3320,2.8200,33616,2.8511,
New York Avenue,39,3.2801,341,2.8845,3393,2.8820,34035,2.8866,
Free Parking,36,3.0278,342,2.8929,3318,2.8183,33256,2.8205,
Kentucky Avenue,34,2.8595,315,2.6645,3188,2.7079,31416,2.6645,
Chance,24,2.0185,345,2.9183,3272,2.7792,32973,2.7965,
Indiana Avenue,34,2.8595,308,2.6053,3039,2.5813,30995,2.6288,
Illinois Avenue,32,2.6913,374,3.1636,3574,3.0357,36038,3.0565,
B. & O. Railroad,28,2.3549,326,2.7576,3505,2.9771,34629,2.9370,
Atlantic Avenue,31,2.6072,300,2.5376,3138,2.6654,30224,2.5634,
Ventnor Avenue,39,3.2801,301,2.5461,2911,2.4726,29931,2.5385,
Water Works,37,3.1119,319,2.6984,3174,2.6960,31827,2.6993,
Marvin Gardens,26,2.1867,313,2.6476,2874,2.4412,29118,2.4696,
Go To Jail,27,2.2708,293,2.4784,2969,2.5219,29898,2.5357,
Pacific Avenue,30,2.5231,297,2.5123,3022,2.5669,30563,2.5921,
North Carolina Avenue,28,2.3549,279,2.3600,2998,2.5465,29635,2.5134,
Community Chest,30,2.5231,307,2.5969,3074,2.6110,30336,2.5729,
Pennsylvania Avenue,37,3.1119,305,2.5799,2874,2.4412,28093,2.3826,
Short Line,31,2.6072,273,2.3093,2725,2.3146,27643,2.3445,
Chance,17,1.4298,239,2.0217,2584,2.1948,25968,2.2024,
Park Place,24,2.0185,256,2.1655,2498,2.1218,24697,2.0946,
Luxury Tax,24,2.0185,242,2.0470,2399,2.0377,24641,2.0899,
Boardwalk,28,2.3549,284,2.4023,2945,2.5015,29751,2.5233,
