Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Boardwalk,25,2.1313,283,2.3957,2899,2.4619,29866,2.5344,

Test # 3
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,37,3.0553,325,2.7293,3606,3.0429,35142,2.9793,
Mediterranean Avenue,23,1.8993,243,2.0406,2396,2.0219,24088,2.0422,
Community Chest,21,1.7341,265,2.2254,2554,2.1552,24164,2.0486,
Baltic Avenue,21,1.7341,244,2.0490,2351,1.9839,24564,2.0825,
Income Tax,30,2.4773,261,2.1918,2632,2.2210,26210,2.2221,
Reading Railroad,31,2.5599,315,2.6453,3329,2.8092,33730,2.8596,
Oriental Avenue,35,2.8902,290,2.4353,2595,2.1898,25603,2.1706,
Chance,32,2.6424,243,2.0406,2557,2.1577,26115,2.2140,
Vermont Avenue,34,2.8076,271,2.2758,2696,2.2750,26130,2.2153,
Connecticut Avenue,30,2.4773,281,2.3598,2706,2.2834,26155,2.2174,
Jail / Just Visiting,26,2.1470,247,2.0742,2485,2.0970,25734,2.1817,
St. Charles Place,26,2.1470,276,2.3178,3109,2.6235,30561,2.5909,
Electric Company,27,2.2296,311,2.6117,3083,2.6016,30899,2.6196,
States Avenue,28,2.3121,269,2.2590,2547,2.1493,25985,2.2030,
Virginia Avenue,36,2.9727,311,2.6117,2932,2.4742,29068,2.4643,
Pennsylvania Railroad,34,2.8076,315,2.6453,3239,2.7332,31690,2.6866,
St. James Place,27,2.2296,322,2.7041,3234,2.7290,31902,2.7046,
Community Chest,28,2.3121,294,2.4689,3219,2.7163,32180,2.7282,
Tennessee Avenue,33,2.7250,351,2.9476,3338,2.8168,33496,2.8397,
New York Avenue,31,2.5599,350,2.9392,3428,2.8927,34156,2.8957,
Free Parking,26,2.1470,310,2.6033,3295,2.7805,33352,2.8275,
Kentucky Avenue,34,2.8076,340,2.8552,3203,2.7028,31321,2.6554,
Chance,35,2.8902,350,2.9392,3358,2.8336,32919,2.7908,
Indiana Avenue,34,2.8076,295,2.4773,3115,2.6286,31115,2.6379,
Illinois Avenue,36,2.9727,353,2.9644,3629,3.0623,35716,3.0280,
B. & O. Railroad,36,2.9727,358,3.0064,3489,2.9442,34851,2.9546,
Atlantic Avenue,27,2.2296,296,2.4857,3035,2.5611,30163,2.5572,
Ventnor Avenue,29,2.3947,318,2.6705,2975,2.5104,30045,2.5472,
Water Works,43,3.5508,338,2.8384,3166,2.6716,31827,2.6983,
Marvin Gardens,27,2.2296,300,2.5193,2978,2.5130,29065,2.4641,
Go To Jail,24,1.9818,282,2.3682,2908,2.4539,29716,2.5193,
Pacific Avenue,22,1.8167,289,2.4269,3025,2.5526,30383,2.5758,
North Carolina Avenue,29,2.3947,300,2.5193,3028,2.5552,29504,2.5013,
Community Chest,34,2.8076,342,2.8720,3160,2.6666,30996,2.6278,
Pennsylvania Avenue,29,2.3947,287,2.4101,2834,2.3915,28167,2.3880,
Short Line,29,2.3947,292,2.4521,2673,2.2556,27325,2.3166,
Chance,29,2.3947,274,2.3010,2626,2.2159,26083,2.2113,
Park Place,33,2.7250,250,2.0994,2523,2.1290,24873,2.1087,
Luxury Tax,30,2.4773,248,2.0826,2475,2.0885,24707,2.0946,
Boardwalk,35,2.8902,302,2.5361,2974,2.5096,29841,2.5299,

Test # 4
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,31,2.6678,347,2.9204,3454,2.9241,34860,2.9574,
Mediterranean Avenue,19,1.6351,234,1.9694,2373,2.0089,23956,2.0323,
Community Chest,26,2.2375,258,2.1714,2517,2.1308,24411,2.0709,
Baltic Avenue,29,2.4957,258,2.1714,2490,2.1080,24732,2.0982,
Income Tax,22,1.8933,266,2.2387,2611,2.2104,26312,2.2322,
Reading Railroad,38,3.2702,349,2.9372,3409,2.8860,33631,2.8531,
Oriental Avenue,37,3.1842,281,2.3649,2552,2.1605,25649,2.1759,
Chance,20,1.7212,238,2.0030,2627,2.2240,26048,2.2098,
Vermont Avenue,29,2.4957,265,2.2303,2644,2.2384,26066,2.2113,
Connecticut Avenue,26,2.2375,259,2.1798,2636,2.2316,25987,2.2046,
Jail / Just Visiting,22,1.8933,269,2.2639,2480,2.0995,25418,2.1564,
St. Charles Place,23,1.9793,280,2.3565,3027,2.5626,30529,2.5899,
Electric Company,23,1.9793,314,2.6427,3129,2.6490,31068,2.6357,
States Avenue,35,3.0120,287,2.4154,2676,2.2655,26382,2.2381,
Virginia Avenue,26,2.2375,322,2.7100,2953,2.5000,28779,2.4415,
Pennsylvania Railroad,34,2.9260,314,2.6427,3180,2.6921,31815,2.6990,
St. James Place,40,3.4423,335,2.8194,3251,2.7522,32052,2.7192,
Community Chest,29,2.4957,300,2.5248,3135,2.6540,31545,2.6761,
Tennessee Avenue,35,3.0120,355,2.9877,3359,2.8437,33950,2.8802,
New York Avenue,29,2.4957,342,2.8783,3395,2.8741,33654,2.8551,
Free Parking,32,2.7539,332,2.7941,3347,2.8335,33452,2.8379,
Kentucky Avenue,31,2.6678,295,2.4827,3142,2.6600,31414,2.6650,
Chance,26,2.2375,338,2.8446,3306,2.7988,33274,2.8228,
Indiana Avenue,36,3.0981,326,2.7436,3114,2.6363,30580,2.5943,
Illinois Avenue,38,3.2702,360,3.0298,3650,3.0900,35854,3.0417,
B. & O. Railroad,31,2.6678,335,2.8194,3434,2.9072,34592,2.9346,
Atlantic Avenue,31,2.6678,315,2.6511,2967,2.5118,30656,2.6007,
Ventnor Avenue,27,2.3236,302,2.5417,3050,2.5821,30202,2.5622,
Water Works,36,3.0981,326,2.7436,3146,2.6633,31824,2.6998,
Marvin Gardens,23,1.9793,286,2.4070,2931,2.4813,29332,2.4884,
Go To Jail,32,2.7539,302,2.5417,2927,2.4779,29714,2.5208,
Pacific Avenue,32,2.7539,298,2.5080,3119,2.6405,30319,2.5721,
North Carolina Avenue,32,2.7539,297,2.4996,3002,2.5414,29472,2.5003,
Community Chest,17,1.4630,270,2.2723,2922,2.4737,30392,2.5783,
Pennsylvania Avenue,24,2.0654,287,2.4154,2818,2.3857,28167,2.3896,
Short Line,33,2.8399,311,2.6174,2842,2.4060,27771,2.3560,
Chance,20,1.7212,250,2.1040,2572,2.1774,25764,2.1857,
Park Place,25,2.1515,242,2.0367,2452,2.0758,24594,2.0864,
Luxury Tax,25,2.1515,233,1.9609,2470,2.0911,24746,2.0993,
Boardwalk,38,3.2702,304,2.5585,3013,2.5508,29787,2.5270,

Test # 5
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,32,2.7923,337,2.8664,3472,2.9577,35021,2.9707,
Mediterranean Avenue,26,2.2688,221,1.8797,2362,2.0121,23776,2.0168,
Community Chest,23,2.0070,257,2.1859,2475,2.1084,24459,2.0747,
Baltic Avenue,24,2.0942,235,1.9988,2398,2.0428,24366,2.0669,
Income Tax,26,2.2688,266,2.2625,2606,2.2200,26536,2.2509,
Reading Railroad,37,3.2286,328,2.7898,3363,2.8649,33560,2.8467,
